variables,type,units,values,description
materials.rho_fiber,output,kg/m**3,"[   0.     0.     0.     0.  2535.5 1800.  2535.5 2535.5    0.     0.
    0. ]",1D array of the density of the fibers of the materials.
materials.rho,output,kg/m**3,[1235. 7800. 7850. 7200. 1940. 1220. 1940. 1940.  130. 1150. 1100.],"1D array of the density of the materials. For composites, this is the density of the laminate."
materials.rho_area_dry,output,kg/m**2,"[0.         0.         0.         0.         7.22716222 1.
 1.44543244 1.44543244 0.         0.         0.        ]",1D array of the dry aerial density of the composite fabrics. Non-composite materials are kept at 0.
materials.ply_t_from_yaml,output,m,"[0.0005     0.         0.         0.         0.005      0.00515873
 0.001      0.001      0.         0.         0.        ]",1D array of the ply thicknesses of the materials. Non-composite materials are kept at 0.
materials.fvf_from_yaml,output,,"[0.         0.         0.         0.         0.57       0.10769231
 0.57       0.57       0.         0.         0.        ]",1D array of the non-dimensional fiber volume fraction of the composite materials. Non-composite materials are kept at 0.
materials.fwf_from_yaml,output,,"[0.         0.         0.         0.         0.74506827 0.15889029
 0.74506827 0.74506827 0.         0.         0.        ]",1D array of the non-dimensional fiber weight- fraction of the composite materials. Non-composite materials are kept at 0.
materials.name,output,Unavailable,"['Gelcoat', 'steel', 'steel_drive', 'cast_iron', 'glass_uni', 'CarbonUD', 'glass_biax', 'glass_triax', 'medium_density_foam', 'resin', 'adhesive']",1D array of names of materials.
materials.component_id,output,Unavailable,[ 0. -1. -1. -1.  5.  4.  3.  2.  1. -1. -1.],"1D array of flags to set whether a material is used in a blade: 0 - coating, 1 - sandwich filler , 2 - shell skin, 3 - shear webs, 4 - spar caps, 5 - TE/LE reinf."
hub.diameter,output,m,[7.94],
blade.outer_shape_bem.s_default,output,,"[0.         0.03448276 0.06896552 0.10344828 0.13793103 0.17241379
 0.20689655 0.24137931 0.27586207 0.31034483 0.34482759 0.37931034
 0.4137931  0.44827586 0.48275862 0.51724138 0.55172414 0.5862069
 0.62068966 0.65517241 0.68965517 0.72413793 0.75862069 0.79310345
 0.82758621 0.86206897 0.89655172 0.93103448 0.96551724 1.        ]","1D array of the non-dimensional spanwise grid defined along blade axis (0-blade root, 1-blade tip)"
blade.outer_shape_bem.chord_yaml,output,m,"[5.2        5.22650407 5.31940068 5.45807455 5.60303811 5.71828659
 5.76463061 5.71505311 5.53918229 5.29078046 5.03400569 4.81566004
 4.62323753 4.43204022 4.24519817 4.06576739 3.89604023 3.73508417
 3.57920635 3.42458014 3.26794659 3.11185969 2.95714018 2.80002199
 2.63678999 2.46413177 2.28345025 2.09568171 1.90248511 0.5       ]",1D array of the chord values defined along blade span.
blade.outer_shape_bem.twist_yaml,output,rad,"[ 0.2721763   0.27032136  0.25679956  0.23271552  0.20321732  0.17325891
  0.14740155  0.12742646  0.10871461  0.09126429  0.07584973  0.06295039
  0.05200766  0.04228859  0.03358702  0.02563348  0.01844002  0.01209022
  0.00620176  0.00031992 -0.00621137 -0.01450412 -0.02398669 -0.03232521
 -0.03736348 -0.03794579 -0.03678035 -0.03399756 -0.02901262 -0.02168376]",1D array of the twist values defined along blade span. The twist is defined positive for negative rotations around the z axis (the same as in BeamDyn).
blade.outer_shape_bem.r_thick_yaml,output,,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]",1D array of the relative thickness values defined along blade span.
blade.outer_shape_bem.pitch_axis_yaml,output,,"[0.50454545 0.47827279 0.44670373 0.41436717 0.38523403 0.35900232
 0.33870888 0.32516685 0.31656844 0.31090127 0.30683535 0.30292985
 0.29844984 0.2940508  0.29066184 0.28847105 0.28784166 0.28831579
 0.29015462 0.29322837 0.2972375  0.30199603 0.30725011 0.31256727
 0.31843499 0.32575139 0.33426619 0.3437327  0.35493039 0.36818182]","1D array of the chordwise position of the pitch axis (0-LE, 1-TE), defined along blade span."
blade.outer_shape_bem.ref_axis_yaml,output,m,"[[ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 3.42959240e-02  0.00000000e+00  4.03448276e+00]
 [ 8.32926257e-02  0.00000000e+00  8.06896552e+00]
 [ 1.39255519e-01  0.00000000e+00  1.21034483e+01]
 [ 1.91903317e-01  0.00000000e+00  1.61379310e+01]
 [ 2.32028258e-01  0.00000000e+00  2.01724138e+01]
 [ 2.49180429e-01  0.00000000e+00  2.42068966e+01]
 [ 2.49614174e-01  0.00000000e+00  2.82413793e+01]
 [ 2.46252569e-01  0.00000000e+00  3.22758621e+01]
 [ 2.40472011e-01  0.00000000e+00  3.63103448e+01]
 [ 2.32979267e-01  0.00000000e+00  4.03448276e+01]
 [ 2.17957140e-01  0.00000000e+00  4.43793103e+01]
 [ 1.77121181e-01  0.00000000e+00  4.84137931e+01]
 [ 1.00301568e-01  0.00000000e+00  5.24482759e+01]
 [ 1.12660591e-05  0.00000000e+00  5.64827586e+01]
 [-1.12312629e-01  0.00000000e+00  6.05172414e+01]
 [-2.43799160e-01  0.00000000e+00  6.45517241e+01]
 [-4.15338772e-01  0.00000000e+00  6.85862069e+01]
 [-6.20768435e-01  0.00000000e+00  7.26206897e+01]
 [-8.46243242e-01  0.00000000e+00  7.66551724e+01]
 [-1.07984644e+00  0.00000000e+00  8.06896552e+01]
 [-1.32901559e+00  0.00000000e+00  8.47241379e+01]
 [-1.60213698e+00  0.00000000e+00  8.87586207e+01]
 [-1.89489952e+00  0.00000000e+00  9.27931034e+01]
 [-2.20179672e+00  0.00000000e+00  9.68275862e+01]
 [-2.52272811e+00  0.00000000e+00  1.00862069e+02]
 [-2.86392159e+00  0.00000000e+00  1.04896552e+02]
 [-3.22483564e+00  0.00000000e+00  1.08931034e+02]
 [-3.60465635e+00  0.00000000e+00  1.12965517e+02]
 [-4.00000000e+00  0.00000000e+00  1.17000000e+02]]","2D array of the coordinates (x,y,z) of the blade reference axis, defined along blade span. The coordinate system is the one of BeamDyn: it is placed at blade root with x pointing the suction side of the blade, y pointing the trailing edge and z along the blade span. A standard configuration will have negative x values (prebend), if swept positive y values, and positive z values."
blade.outer_shape_bem.span_end,input,,[],1D array of the positions along blade span where something (a DAC device?) starts and we want a grid point. Only values between 0 and 1 are meaningful.
blade.outer_shape_bem.span_ext,input,,[],1D array of the extensions along blade span where something (a DAC device?) lives and we want a grid point. Only values between 0 and 1 are meaningful.
blade.pa.s,input,,"[0.         0.03448276 0.06896552 0.10344828 0.13793103 0.17241379
 0.20689655 0.24137931 0.27586207 0.31034483 0.34482759 0.37931034
 0.4137931  0.44827586 0.48275862 0.51724138 0.55172414 0.5862069
 0.62068966 0.65517241 0.68965517 0.72413793 0.75862069 0.79310345
 0.82758621 0.86206897 0.89655172 0.93103448 0.96551724 1.        ]","1D array of the non-dimensional spanwise grid defined along blade axis (0-blade root, 1-blade tip)"
blade.pa.s_opt_twist,input,,"[0.         0.03448276 0.06896552 0.10344828 0.13793103 0.17241379
 0.20689655 0.24137931 0.27586207 0.31034483 0.34482759 0.37931034
 0.4137931  0.44827586 0.48275862 0.51724138 0.55172414 0.5862069
 0.62068966 0.65517241 0.68965517 0.72413793 0.75862069 0.79310345
 0.82758621 0.86206897 0.89655172 0.93103448 0.96551724 1.        ]",1D array of the non-dimensional spanwise grid defined along blade axis to optimize the blade twist angle
