variables,units,values,description
materials.rho_fiber,kg/m**3,[   0.     0.     0.     0.  2535.5 1800.  2535.5 2535.5    0.     0. ],1D array of the density of the fibers of the materials.
materials.rho,kg/m**3,[1235. 7800. 7850. 7200. 1940. 1500. 1940. 1940.  130. 1150.],"1D array of the density of the materials. For composites, this is the density of the laminate."
materials.rho_area_dry,kg/m**2,"[0.         0.         0.         0.         7.22716222 1.
 1.44543244 1.44543244 0.         0.        ]",1D array of the dry aerial density of the composite fabrics. Non-composite materials are kept at 0.
materials.ply_t_from_yaml,m,"[0.0005     0.         0.         0.         0.005      0.00103175
 0.001      0.001      0.         0.        ]",1D array of the ply thicknesses of the materials. Non-composite materials are kept at 0.
materials.fvf_from_yaml,,"[0.         0.         0.         0.         0.57       0.53846154
 0.57       0.57       0.         0.        ]",1D array of the non-dimensional fiber volume fraction of the composite materials. Non-composite materials are kept at 0.
materials.fwf_from_yaml,,"[0.         0.         0.         0.         0.74506827 0.64615385
 0.74506827 0.74506827 0.         0.        ]",1D array of the non-dimensional fiber weight- fraction of the composite materials. Non-composite materials are kept at 0.
materials.name,Unavailable,"['Gelcoat', 'steel', 'steel_drive', 'cast_iron', 'glass_uni', 'CarbonUD', 'glass_biax', 'glass_triax', 'medium_density_foam', 'resin']",1D array of names of materials.
materials.component_id,Unavailable,[ 0. -1. -1. -1.  5.  4.  3.  2.  1. -1.],"1D array of flags to set whether a material is used in a blade: 0 - coating, 1 - sandwich filler , 2 - shell skin, 3 - shear webs, 4 - spar caps, 5 - TE reinf.isotropic."
blade.outer_shape_bem.s_default,,"[0.         0.03448276 0.06896552 0.10344828 0.13793103 0.17241379
 0.20689655 0.24137931 0.27586207 0.31034483 0.34482759 0.37931034
 0.4137931  0.44827586 0.48275862 0.51724138 0.55172414 0.5862069
 0.62068966 0.65517241 0.68965517 0.72413793 0.75862069 0.79310345
 0.82758621 0.86206897 0.89655172 0.93103448 0.96551724 1.        ]","1D array of the non-dimensional spanwise grid defined along blade axis (0-blade root, 1-blade tip)"
blade.outer_shape_bem.chord_yaml,m,"[5.2        5.22814651 5.32105729 5.45815745 5.60229318 5.71827031
 5.76707382 5.71284486 5.53647944 5.29094421 5.03450401 4.81470288
 4.62321904 4.43204464 4.24515221 4.06546765 3.89602837 3.73506076
 3.57914991 3.42460161 3.26800581 3.11191777 2.95713751 2.79989844
 2.6365298  2.46395353 2.28349782 2.09593192 1.90186155 0.5       ]",1D array of the chord values defined along blade span.
blade.outer_shape_bem.twist_yaml,rad,"[ 0.2721763   0.27006429  0.25642418  0.2326505   0.20323278  0.17325047
  0.1472625   0.12742885  0.10876434  0.09127312  0.07588126  0.06293023
  0.05197911  0.04228788  0.03357438  0.02561185  0.01843869  0.01208594
  0.00619883  0.00032946 -0.00624786 -0.01455612 -0.02398702 -0.03225994
 -0.03727567 -0.03790458 -0.03679394 -0.0340788  -0.029002   -0.02168376]",1D array of the twist values defined along blade span. The twist is defined positive for negative rotations around the z axis (the same as in BeamDyn).
blade.outer_shape_bem.pitch_axis_yaml,,"[0.50454545 0.47811289 0.4466621  0.41440788 0.38527947 0.35892959
 0.33856114 0.32527807 0.31667602 0.31090357 0.3068321  0.30294031
 0.29844865 0.2940508  0.2906606  0.28842919 0.28784247 0.28830607
 0.29012585 0.29321941 0.29724938 0.30201423 0.30725435 0.31257925
 0.31847554 0.32577906 0.33426195 0.34368536 0.35494244 0.36818182]","1D array of the chordwise position of the pitch axis (0-LE, 1-TE), defined along blade span."
blade.outer_shape_bem.ref_axis_yaml,m,"[[ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 3.47038875e-02  0.00000000e+00  4.03448276e+00]
 [ 8.35457789e-02  0.00000000e+00  8.06896552e+00]
 [ 1.39221829e-01  0.00000000e+00  1.21034483e+01]
 [ 1.91620281e-01  0.00000000e+00  1.61379310e+01]
 [ 2.32058151e-01  0.00000000e+00  2.01724138e+01]
 [ 2.49748715e-01  0.00000000e+00  2.42068966e+01]
 [ 2.49576780e-01  0.00000000e+00  2.82413793e+01]
 [ 2.46161255e-01  0.00000000e+00  3.22758621e+01]
 [ 2.40468154e-01  0.00000000e+00  3.63103448e+01]
 [ 2.32897670e-01  0.00000000e+00  4.03448276e+01]
 [ 2.17967148e-01  0.00000000e+00  4.43793103e+01]
 [ 1.78171719e-01  0.00000000e+00  4.84137931e+01]
 [ 1.00328504e-01  0.00000000e+00  5.24482759e+01]
 [ 3.33661701e-04  0.00000000e+00  5.64827586e+01]
 [-1.11956965e-01  0.00000000e+00  6.05172414e+01]
 [-2.43745733e-01  0.00000000e+00  6.45517241e+01]
 [-4.15231916e-01  0.00000000e+00  6.85862069e+01]
 [-6.20301885e-01  0.00000000e+00  7.26206897e+01]
 [-8.46162280e-01  0.00000000e+00  7.66551724e+01]
 [-1.08028322e+00  0.00000000e+00  8.06896552e+01]
 [-1.32984337e+00  0.00000000e+00  8.47241379e+01]
 [-1.60241994e+00  0.00000000e+00  8.87586207e+01]
 [-1.89518421e+00  0.00000000e+00  9.27931034e+01]
 [-2.20216882e+00  0.00000000e+00  9.68275862e+01]
 [-2.52321796e+00  0.00000000e+00  1.00862069e+02]
 [-2.86378033e+00  0.00000000e+00  1.04896552e+02]
 [-3.22419386e+00  0.00000000e+00  1.08931034e+02]
 [-3.60472885e+00  0.00000000e+00  1.12965517e+02]
 [-4.00000000e+00  0.00000000e+00  1.17000000e+02]]","2D array of the coordinates (x,y,z) of the blade reference axis, defined along blade span. The coordinate system is the one of BeamDyn: it is placed at blade root with x pointing the suction side of the blade, y pointing the trailing edge and z along the blade span. A standard configuration will have negative x values (prebend), if swept positive y values, and positive z values."
blade.outer_shape_bem.span_end,,[],1D array of the positions along blade span where something (a DAC device?) starts and we want a grid point. Only values between 0 and 1 are meaningful.
blade.outer_shape_bem.span_ext,,[],1D array of the extensions along blade span where something (a DAC device?) lives and we want a grid point. Only values between 0 and 1 are meaningful.
