variables,type,units,values,description
materials.rho_fiber,output,kg/m**3,[   0. 2600. 2600. 2600.    0.    0.    0.    0.    0.],1D array of the density of the fibers of the materials.
materials.rho,output,kg/m**3,[1100. 1845. 1845. 1940.  110.  110. 1100. 1150. 8500.],"1D array of the density of the materials. For composites, this is the density of the laminate."
materials.rho_area_dry,output,kg/m**2,[0.    1.112 1.112 1.858 0.    0.    0.    0.    0.   ],1D array of the dry aerial density of the composite fabrics. Non-composite materials are kept at 0.
materials.ply_t_from_yaml,output,m,[0.0005 0.     0.     0.     0.     0.     0.     0.     0.    ],1D array of the ply thicknesses of the materials. Non-composite materials are kept at 0.
materials.fvf_from_yaml,output,,[0.     0.4793 0.4793 0.5448 0.     0.     0.     0.     0.    ],1D array of the non-dimensional fiber volume fraction of the composite materials. Non-composite materials are kept at 0.
materials.fwf_from_yaml,output,,[0.     0.6754 0.6754 0.7302 0.     0.     0.     0.     0.    ],1D array of the non-dimensional fiber weight- fraction of the composite materials. Non-composite materials are kept at 0.
materials.name,output,Unavailable,"['paint', 'triax', 'biax', 'ud', 'balsa', 'foam', 'adhesive', 'resin', 'steel']",1D array of names of materials.
materials.component_id,output,Unavailable,[ 0.  2.  3.  4.  1.  1. -1. -1. -1.],"1D array of flags to set whether a material is used in a blade: 0 - coating, 1 - sandwich filler , 2 - shell skin, 3 - shear webs, 4 - spar caps, 5 - TE/LE reinf."
hub.diameter,output,m,[4.],
blade.outer_shape_bem.s_default,output,,"[0.         0.03448276 0.06896552 0.10344828 0.13793103 0.17241379
 0.20689655 0.24137931 0.27586207 0.31034483 0.34482759 0.37931034
 0.4137931  0.44827586 0.48275862 0.51724138 0.55172414 0.5862069
 0.62068966 0.65517241 0.68965517 0.72413793 0.75862069 0.79310345
 0.82758621 0.86206897 0.89655172 0.93103448 0.96551724 1.        ]","1D array of the non-dimensional spanwise grid defined along blade axis (0-blade root, 1-blade tip)"
blade.outer_shape_bem.chord_yaml,output,m,"[2.6        2.6400108  3.02068886 3.43940393 3.78632687 4.03933222
 4.20600551 4.28630928 4.29010407 4.22617877 4.10030408 3.92512419
 3.70983694 3.46870635 3.22039928 2.98486122 2.77085185 2.58013169
 2.4118525  2.26552908 2.1420721  2.04143062 1.96370352 1.90855684
 1.87089392 1.81035886 1.6705797  1.39382511 0.92204843 0.2       ]",1D array of the chord values defined along blade span.
blade.outer_shape_bem.twist_yaml,output,rad,"[ 0.349       0.33965701  0.32741368  0.31081014  0.27858944  0.2354309
  0.19864576  0.1686555   0.13843916  0.11106032  0.08612175  0.06571169
  0.05023676  0.03944053  0.03041456  0.02364328  0.01824169  0.01263081
  0.00691721  0.00280744 -0.00096308 -0.00441804 -0.00790973 -0.01224484
 -0.01713418 -0.02222183 -0.02894752 -0.04010525 -0.0581402  -0.081     ]",1D array of the twist values defined along blade span. The twist is defined positive for negative rotations around the z axis (the same as in BeamDyn).
blade.outer_shape_bem.r_thick_yaml,output,,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]",1D array of the relative thickness values defined along blade span.
blade.outer_shape_bem.pitch_axis_yaml,output,,"[0.5        0.4805125  0.40967346 0.35077675 0.31038066 0.28320245
 0.26462878 0.25229681 0.24475743 0.24125724 0.24097363 0.24373741
 0.24949352 0.25783338 0.26800204 0.27871542 0.28894648 0.29826385
 0.30615885 0.31213058 0.31548724 0.31753162 0.31586754 0.3097253
 0.29970862 0.28806825 0.27765471 0.27050463 0.26661986 0.25      ]","1D array of the chordwise position of the pitch axis (0-LE, 1-TE), defined along blade span."
blade.outer_shape_bem.ref_axis_yaml,output,m,"[[ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  2.17241379e+00]
 [ 0.00000000e+00  0.00000000e+00  4.34482759e+00]
 [-3.96069335e-05  0.00000000e+00  6.51724138e+00]
 [-4.41888313e-03  0.00000000e+00  8.68965517e+00]
 [-1.47437694e-02  0.00000000e+00  1.08620690e+01]
 [-2.78568630e-02  0.00000000e+00  1.30344828e+01]
 [-4.57535116e-02  0.00000000e+00  1.52068966e+01]
 [-6.71775652e-02  0.00000000e+00  1.73793103e+01]
 [-9.31591116e-02  0.00000000e+00  1.95517241e+01]
 [-1.23411088e-01  0.00000000e+00  2.17241379e+01]
 [-1.58235516e-01  0.00000000e+00  2.38965517e+01]
 [-1.99036574e-01  0.00000000e+00  2.60689655e+01]
 [-2.45757463e-01  0.00000000e+00  2.82413793e+01]
 [-2.98408959e-01  0.00000000e+00  3.04137931e+01]
 [-3.57814145e-01  0.00000000e+00  3.25862069e+01]
 [-4.24076326e-01  0.00000000e+00  3.47586207e+01]
 [-4.98895254e-01  0.00000000e+00  3.69310345e+01]
 [-5.81761222e-01  0.00000000e+00  3.91034483e+01]
 [-6.75146021e-01  0.00000000e+00  4.12758621e+01]
 [-7.78279295e-01  0.00000000e+00  4.34482759e+01]
 [-8.93706090e-01  0.00000000e+00  4.56206897e+01]
 [-1.02166869e+00  0.00000000e+00  4.77931034e+01]
 [-1.16547581e+00  0.00000000e+00  4.99655172e+01]
 [-1.32474427e+00  0.00000000e+00  5.21379310e+01]
 [-1.50426524e+00  0.00000000e+00  5.43103448e+01]
 [-1.70625884e+00  0.00000000e+00  5.64827586e+01]
 [-1.93449304e+00  0.00000000e+00  5.86551724e+01]
 [-2.19383653e+00  0.00000000e+00  6.08275862e+01]
 [-2.50000000e+00  0.00000000e+00  6.30000000e+01]]","2D array of the coordinates (x,y,z) of the blade reference axis, defined along blade span. The coordinate system is the one of BeamDyn: it is placed at blade root with x pointing the suction side of the blade, y pointing the trailing edge and z along the blade span. A standard configuration will have negative x values (prebend), if swept positive y values, and positive z values."
blade.outer_shape_bem.span_end,input,,[],1D array of the positions along blade span where something (a DAC device?) starts and we want a grid point. Only values between 0 and 1 are meaningful.
blade.outer_shape_bem.span_ext,input,,[],1D array of the extensions along blade span where something (a DAC device?) lives and we want a grid point. Only values between 0 and 1 are meaningful.
blade.pa.s,input,,"[0.         0.03448276 0.06896552 0.10344828 0.13793103 0.17241379
 0.20689655 0.24137931 0.27586207 0.31034483 0.34482759 0.37931034
 0.4137931  0.44827586 0.48275862 0.51724138 0.55172414 0.5862069
 0.62068966 0.65517241 0.68965517 0.72413793 0.75862069 0.79310345
 0.82758621 0.86206897 0.89655172 0.93103448 0.96551724 1.        ]","1D array of the non-dimensional spanwise grid defined along blade axis (0-blade root, 1-blade tip)"
blade.pa.s_opt_twist,input,,"[0.         0.03448276 0.06896552 0.10344828 0.13793103 0.17241379
 0.20689655 0.24137931 0.27586207 0.31034483 0.34482759 0.37931034
 0.4137931  0.44827586 0.48275862 0.51724138 0.55172414 0.5862069
 0.62068966 0.65517241 0.68965517 0.72413793 0.75862069 0.79310345
 0.82758621 0.86206897 0.89655172 0.93103448 0.96551724 1.        ]",1D array of the non-dimensional spanwise grid defined along blade axis to optimize the blade twist angle
blade.pa.twist_opt,input,rad,"[ 0.349       0.33965701  0.32741368  0.31081014  0.27858944  0.2354309
  0.19864576  0.1686555   0.13843916  0.11106032  0.08612175  0.06571169
  0.05023676  0.03944053  0.03041456  0.02364328  0.01824169  0.01263081
  0.00691721  0.00280744 -0.00096308 -0.00441804 -0.00790973 -0.01224484
 -0.01713418 -0.02222183 -0.02894752 -0.04010525 -0.0581402  -0.081     ]",1D array of the twist angle being optimized at the n_opt locations.
blade.pa.s_opt_chord,input,,"[0.         0.03448276 0.06896552 0.10344828 0.13793103 0.17241379
 0.20689655 0.24137931 0.27586207 0.31034483 0.34482759 0.37931034
 0.4137931  0.44827586 0.48275862 0.51724138 0.55172414 0.5862069
 0.62068966 0.65517241 0.68965517 0.72413793 0.75862069 0.79310345
 0.82758621 0.86206897 0.89655172 0.93103448 0.96551724 1.        ]",1D array of the non-dimensional spanwise grid defined along blade axis to optimize the blade chord
blade.pa.chord_opt,input,m,"[2.6        2.6400108  3.02068886 3.43940393 3.78632687 4.03933222
 4.20600551 4.28630928 4.29010407 4.22617877 4.10030408 3.92512419
 3.70983694 3.46870635 3.22039928 2.98486122 2.77085185 2.58013169
 2.4118525  2.26552908 2.1420721  2.04143062 1.96370352 1.90855684
 1.87089392 1.81035886 1.6705797  1.39382511 0.92204843 0.2       ]",1D array of the chord being optimized at the n_opt locations.
blade.interp_airfoils.af_position,input,,[0.     0.02   0.1371 0.2118 0.3188 0.5236 0.6781 0.8967 1.    ],1D array of the non dimensional positions of the airfoils af_used defined along blade span.
blade.interp_airfoils.s,input,,"[0.         0.03448276 0.06896552 0.10344828 0.13793103 0.17241379
 0.20689655 0.24137931 0.27586207 0.31034483 0.34482759 0.37931034
 0.4137931  0.44827586 0.48275862 0.51724138 0.55172414 0.5862069
 0.62068966 0.65517241 0.68965517 0.72413793 0.75862069 0.79310345
 0.82758621 0.86206897 0.89655172 0.93103448 0.96551724 1.        ]","1D array of the non-dimensional spanwise grid defined along blade axis (0-blade root, 1-blade tip)"
