variables,units,values,description
materials.rho_fiber,kg/m**3,[   0. 2600. 2600. 2600.    0.    0.    0.    0. 1800.    0.],1D array of the density of the fibers of the materials.
materials.rho,kg/m**3,[1235. 1920. 1850. 1780. 7800. 7850. 7200.  200. 1220. 1150.],"1D array of the density of the materials. For composites, this is the density of the laminate."
materials.rho_area_dry,kg/m**2,[0.    1.858 1.112 1.112 0.    0.    0.    0.    1.    0.   ],1D array of the dry aerial density of the composite fabrics. Non-composite materials are kept at 0.
materials.ply_t_from_yaml,m,"[0.00051 0.      0.      0.      0.      0.      0.      0.0025  0.
 0.     ]",1D array of the ply thicknesses of the materials. Non-composite materials are kept at 0.
materials.fvf_from_yaml,,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1D array of the non-dimensional fiber volume fraction of the composite materials. Non-composite materials are kept at 0.
materials.fwf_from_yaml,,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1D array of the non-dimensional fiber weight- fraction of the composite materials. Non-composite materials are kept at 0.
materials.name,Unavailable,"['Gelcoat', 'glassUD', 'glassTri', 'glassDB', 'steel', 'steel_drive', 'cast_iron', 'FOAM', 'CarbonUD', 'resin']",1D array of names of materials.
materials.component_id,Unavailable,[ 0.  5.  2.  3. -1. -1. -1.  1.  4. -1.],"1D array of flags to set whether a material is used in a blade: 0 - coating, 1 - sandwich filler , 2 - shell skin, 3 - shear webs, 4 - spar caps, 5 - TE reinf.isotropic."
blade.outer_shape_bem.s_default,,"[0.         0.03448276 0.06896552 0.10344828 0.13793103 0.17241379
 0.20689655 0.24137931 0.27586207 0.31034483 0.34482759 0.37931034
 0.4137931  0.44827586 0.48275862 0.51724138 0.55172414 0.5862069
 0.62068966 0.65517241 0.68965517 0.72413793 0.75862069 0.79310345
 0.82758621 0.86206897 0.89655172 0.93103448 0.96551724 1.        ]","1D array of the non-dimensional spanwise grid defined along blade axis (0-blade root, 1-blade tip)"
blade.outer_shape_bem.chord_yaml,m,"[3.542      3.62806621 3.87018985 4.11303764 4.35527783 4.56518965
 4.61432759 4.62858621 4.52824138 4.42556897 4.31746552 4.20310345
 4.07793103 3.94894827 3.81498276 3.68437931 3.55713793 3.42989655
 3.30265517 3.17541379 3.04817241 2.92093103 2.79368966 2.66644828
 2.5392069  2.41196655 2.27386436 2.09774152 1.60299411 1.419     ]",1D array of the chord values defined along blade span.
blade.outer_shape_bem.twist_yaml,rad,"[0.23226842 0.23226842 0.23226842 0.23226842 0.23226842 0.22951802
 0.21301563 0.19758752 0.18568919 0.17424314 0.16385241 0.15324653
 0.14226901 0.13115458 0.11986109 0.10887454 0.09819493 0.08756648
 0.07697715 0.06701673 0.05742043 0.04944819 0.04217197 0.03498573
 0.02782686 0.0206485  0.01357875 0.00690278 0.00312109 0.00185005]",1D array of the twist values defined along blade span. The twist is defined positive for negative rotations around the z axis (the same as in BeamDyn).
