------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
AeroElasticSE FAST driver
======  Blade Properties =================================================================
38          NumBlNds    - Number of blade nodes used in the analysis (-)
    BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID
     (m)           (m)            (m)            (deg)         (deg)           (m)              (-)
 0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  1.330874753259348e+01  3.542645242573039e+00        1
 3.030661313698799e-01  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  1.334412485659200e+01  3.573554135715912e+00        2
 4.015598755701899e-01  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  1.335552812860119e+01  3.583703967429393e+00        3
 5.000536197698850e-01  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  1.336675141161223e+01  3.593803383521498e+00        4
 6.047032229897100e-01  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  1.337846923131240e+01  3.604479487085684e+00        5
 7.031969671912499e-01  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  1.338929388750752e+01  3.614476938425471e+00        6
 8.016907113890999e-01  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  1.339991198548472e+01  3.624425930474684e+00        7
 1.366699740000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  1.345639927049108e+01  3.680593792052552e+00        8
 1.503458638818000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  1.346882321872036e+01  3.693966070929244e+00        9
 1.601952383022000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  1.347744142162366e+01  3.703545011835814e+00       10
 4.100000205000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  1.357694716260182e+01  3.933973500298098e+00       11
 5.504766996982499e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  1.349905891899044e+01  4.055418031903495e+00       12
 6.833300055000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  1.330799998942581e+01  4.167000004575801e+00       13
 9.007450775083500e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  1.285167495054751e+01  4.355057630920111e+00       14
 1.025000020500000e+01  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  1.256007448309333e+01  4.458112910364686e+00       15
 1.201150997318250e+01  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  1.211511937634506e+01  4.578170860180006e+00       16
 1.434999979500000e+01  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  1.148000005740762e+01  4.651999999278032e+00       17
 1.701622335051750e+01  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  1.071284395365774e+01  4.631632687907888e+00       18
 1.845000000000000e+01  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  1.028583890020586e+01  4.597957965658629e+00       19
 2.051890712861850e+01  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  9.656491454549831e+00  4.524852132859575e+00       20
 2.255000020500000e+01  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  9.028273944552978e+00  4.428517133116591e+00       21
 2.462486509003050e+01  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  8.381366028646283e+00  4.309089624647345e+00       22
 2.664999979500000e+01  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  7.750225828306258e+00  4.176023552477073e+00       23
 3.075000000000000e+01  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  6.494614609445971e+00  3.872823152288199e+00       24
 3.203036348209200e+01  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  6.113883494392247e+00  3.772857079337566e+00       25
 3.485000020500000e+01  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  5.304360925975915e+00  3.551261973343153e+00       26
 3.703507685930401e+01  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  4.711521317422791e+00  3.383543133807719e+00       27
 3.894999979500000e+01  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  4.221661375439012e+00  3.242282834108366e+00       28
 4.104254107638900e+01  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  3.716395144696882e+00  3.087785912548934e+00       29
 4.203979023651600e+01  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  3.486081202975263e+00  3.013605392042749e+00       30
 4.305000000000000e+01  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  3.259450656044548e+00  2.938027661186231e+00       31
 4.504384943461500e+01  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  2.831229010065868e+00  2.787378345249456e+00       32
 4.715000020500000e+01  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  2.405213670346664e+00  2.625735124038370e+00       33
 5.124999979500000e+01  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  1.647890612288188e+00  2.301913179735943e+00       34
 5.466669994500000e+01  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  1.082834935130157e+00  2.020732125050112e+00       35
 5.739999979500000e+01  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  6.694257465033202e-01  1.786923535750528e+00       36
 6.013330026000000e+01  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  2.867997358952584e-01  1.544110806749134e+00       37
 6.150000000000000e+01  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  1.067987859914755e-01  1.419568799368171e+00       38
