--------------------------------------------------------------------------------
---------------------- FAST INDIVIDUAL BLADE FILE ------------------------------
Properties generated using NuMAD2PreComp2FASTBlade on 13-Jun-2012
---------------------- BLADE PARAMETERS ----------------------------------------
38               NBlInpSt    - Number of blade input stations (-)
F                CalcBMode   - Calculate blade mode shapes internally {T: ignore mode shapes from below, F: use mode shapes from below} [CURRENTLY IGNORED] (flag)
1.5              BldFlDmp(1) - Blade flap mode #1 structural damping in percent of critical (%%)
1.5              BldFlDmp(2) - Blade flap mode #2 structural damping in percent of critical (%%)
1.5              BldEdDmp(1) - Blade edge mode #1 structural damping in percent of critical (%%)
---------------------- BLADE ADJUSTMENT FACTORS --------------------------------
1                FlStTunr(1) - Blade flapwise modal stiffness tuner, 1st mode (-)
1                FlStTunr(2) - Blade flapwise modal stiffness tuner, 2nd mode (-)
1                AdjBlMs     - Factor to adjust blade mass density (-)
1                AdjFlSt     - Factor to adjust blade flap stiffness (-)
1                AdjEdSt     - Factor to adjust blade edge stiffness (-)
---------------------- DISTRIBUTED BLADE PROPERTIES ----------------------------
BlFract  AeroCent  StrcTwst  BMassDen  FlpStff       EdgStff       GJStff        EAStff        Alpha  FlpIner  EdgIner  PrecrvRef  PreswpRef  FlpcgOf  EdgcgOf  FlpEAOf  EdgEAOf
(-)      (-)       (deg)     (kg/m)    (Nm^2)        (Nm^2)        (Nm^2)        (N)           (-)    (kg m)   (kg m)   (m)        (m)        (m)      (m)      (m)      (m)
0.00000  0.250     13.310    2071.000  4.16700e+010  4.14700e+010  2.15700e+010  3.10000e+010  0.000  2784.000  2770.000  0.000      0.000      0.000    0.001    0.000    0.001
0.00488  0.250     13.310    2071.000  4.16700e+010  4.14700e+010  2.15700e+010  3.10000e+010  0.000  2784.000  2770.000  0.000      0.000      0.000    0.001    0.000    0.001
0.00650  0.250     13.310    1796.000  3.75900e+010  3.68000e+010  1.92600e+010  2.68800e+010  0.000  2511.000  2459.000  0.000      0.000      0.000    0.018    0.000    0.018
0.00813  0.250     13.310    1515.000  3.19800e+010  3.13200e+010  1.63900e+010  2.26800e+010  0.000  2137.000  2092.000  0.000      0.000      0.000    0.018    0.000    0.018
0.00976  0.250     13.310    1216.000  2.58900e+010  2.53600e+010  1.32700e+010  1.82000e+010  0.000  1730.000  1694.000  0.000      0.000      0.000    0.018    0.000    0.018
0.01138  0.250     13.310     935.700  2.00800e+010  1.96700e+010  1.02900e+010  1.40000e+010  0.000  1342.000  1315.000  0.000      0.000      0.000    0.018    0.000    0.018
0.01301  0.250     13.310     636.500  1.37800e+010  1.35000e+010  7.06300e+009  9.52200e+009  0.000  920.900  902.300  0.000      0.000      0.000    0.018    0.000    0.018
0.02228  0.250     13.310     742.100  1.32200e+010  1.48200e+010  6.84400e+009  9.85500e+009  0.000  883.600  1253.000  0.000      0.000      0.000    0.257    0.000    0.001
0.02439  0.248     13.310     754.900  1.40200e+010  1.51100e+010  7.07400e+009  1.01000e+010  0.000  925.200  1251.000  0.000      0.000      0.000    0.264    0.000    0.031
0.02602  0.247     13.310     758.600  1.42500e+010  1.51500e+010  7.08500e+009  1.02200e+010  0.000  928.400  1246.000  0.000      0.000      0.000    0.264    0.000    0.040
0.06667  0.216     13.310     754.100  1.06900e+010  1.60300e+010  5.08900e+009  1.18200e+010  0.000  568.900  1195.000  0.000      0.000      0.003    0.267    0.002    0.170
0.08943  0.198     13.310     658.600  5.88600e+009  1.44700e+010  2.50400e+009  1.16500e+010  0.000  273.400  1052.000  0.000      0.000      0.003    0.284    0.001    0.238
0.11106  0.181     13.310     604.600  4.20500e+009  1.41300e+010  1.44800e+009  1.21900e+010  0.000  171.300  987.200  0.000      0.000      0.005    0.356   -0.001    0.334
0.14634  0.146     13.310     334.700  4.32600e+009  7.91400e+009  5.08700e+008  1.02100e+010  0.000   94.600  527.500  0.000      0.000      0.007    0.635   -0.006    0.550
0.16667  0.125     13.310     341.000  5.38200e+009  7.68800e+009  5.51100e+008  1.13100e+010  0.000  109.400  523.600  0.000      0.000      0.002    0.631   -0.012    0.532
0.19512  0.125     12.530     341.600  5.77900e+009  6.72100e+009  4.89000e+008  1.29300e+010  0.000  108.000  483.200  0.000      0.000     -0.011    0.569   -0.024    0.445
0.23333  0.125     11.480     337.100  4.98300e+009  6.78900e+009  4.23200e+008  1.30100e+010  0.000   91.790  480.300  0.000      0.000     -0.023    0.574   -0.037    0.430
0.27642  0.125     10.630     330.100  4.63200e+009  6.48100e+009  3.84700e+008  1.28500e+010  0.000   84.340  450.500  0.000      0.000     -0.024    0.563   -0.038    0.405
0.30000  0.125     10.160     323.200  4.48100e+009  6.21200e+009  3.76000e+008  1.25000e+010  0.000   81.280  428.200  0.000      0.000     -0.023    0.557   -0.037    0.390
0.33333  0.125      9.590     310.500  3.60400e+009  5.81300e+009  3.02700e+008  1.21000e+010  0.000   64.970  392.400  0.000      0.000     -0.017    0.545   -0.029    0.372
0.36667  0.125      9.010     296.200  2.81500e+009  5.40200e+009  2.38900e+008  1.16400e+010  0.000   49.890  354.300  0.000      0.000     -0.006    0.536   -0.017    0.356
0.40000  0.125      8.400     280.700  2.12200e+009  4.95600e+009  1.82100e+008  1.10400e+010  0.000   37.100  317.800  0.000      0.000      0.019    0.521    0.012    0.340
0.43333  0.125      7.790     264.600  1.71700e+009  4.41300e+009  1.51100e+008  1.03900e+010  0.000   29.630  281.300  0.000      0.000      0.039    0.498    0.035    0.316
0.50000  0.125      6.540     236.600  1.33200e+009  3.44000e+009  1.22400e+008  9.07900e+009  0.000   23.300  224.300  0.000      0.000      0.036    0.453    0.032    0.264
0.52033  0.125      6.180     227.100  1.12100e+009  3.17100e+009  1.04300e+008  8.69300e+009  0.000   19.700  207.300  0.000      0.000      0.046    0.437    0.045    0.250
0.56667  0.125      5.360     203.000  7.17400e+008  2.56600e+009  7.25700e+007  7.63300e+009  0.000   12.810  169.800  0.000      0.000      0.070    0.401    0.075    0.219
0.60163  0.125      4.750     187.700  5.88700e+008  2.18500e+009  6.22400e+007  6.84400e+009  0.000   10.780  148.700  0.000      0.000      0.067    0.379    0.072    0.196
0.63333  0.125      4.190     174.900  4.99700e+008  1.90900e+009  5.70500e+007  6.11500e+009  0.000    9.395  132.400  0.000      0.000      0.064    0.368    0.069    0.181
0.66667  0.125      3.660     158.800  3.50100e+008  1.58500e+009  4.27600e+007  5.35000e+009  0.000    6.822  113.200  0.000      0.000      0.073    0.343    0.080    0.161
0.68293  0.125      3.400     150.300  2.90500e+008  1.44200e+009  3.68600e+007  5.03100e+009  0.000    5.729  103.400  0.000      0.000      0.077    0.333    0.086    0.150
0.70000  0.125      3.130     142.200  2.51000e+008  1.30200e+009  3.24600e+007  4.71800e+009  0.000    5.037   94.420  0.000      0.000      0.081    0.323    0.090    0.139
0.73171  0.125      2.740     133.600  1.92800e+008  1.04600e+009  2.81900e+007  4.00900e+009  0.000    4.050   88.020  0.000      0.000      0.078    0.364    0.088    0.114
0.76667  0.125      2.320     119.100  1.50500e+008  8.82900e+008  2.45900e+007  3.37200e+009  0.000    3.360   73.230  0.000      0.000      0.073    0.359    0.082    0.108
0.83333  0.125      1.530      94.670  8.12700e+007  6.21100e+008  1.80000e+007  2.28600e+009  0.000    2.136   50.240  0.000      0.000      0.065    0.346    0.073    0.104
0.88894  0.125      0.860      74.940  3.86400e+007  4.32000e+008  1.32000e+007  1.42000e+009  0.000    1.359   33.880  0.000      0.000      0.059    0.329    0.064    0.123
0.93333  0.125      0.370      59.840  1.39900e+007  2.74400e+008  8.88200e+006  8.00800e+008  0.000    0.828   21.260  0.000      0.000      0.053    0.283    0.052    0.172
0.97772  0.125      0.110      36.660  3.60900e+006  8.22400e+007  2.72100e+006  4.81400e+008  0.000    0.243    5.963  0.000      0.000      0.035    0.177    0.035    0.130
1.00000  0.125      0.000      23.510  1.59100e+006  3.53900e+007  1.19500e+006  3.50400e+008  0.000    0.107    2.375  0.000      0.000      0.026    0.100    0.026    0.100
---------------------- BLADE MODE SHAPES ---------------------------------------
0.483201         BldFl1Sh(2) - Flap mode 1, coeff of x^2
1.24069          BldFl1Sh(3) -            , coeff of x^3
-3.23879         BldFl1Sh(4) -            , coeff of x^4
4.34669          BldFl1Sh(5) -            , coeff of x^5
-1.8318          BldFl1Sh(6) -            , coeff of x^6
-1.41426         BldFl2Sh(2) - Flap mode 2, coeff of x^2
3.46186          BldFl2Sh(3) -            , coeff of x^3
-10.8725         BldFl2Sh(4) -            , coeff of x^4
15.3237          BldFl2Sh(5) -            , coeff of x^5
-5.49889         BldFl2Sh(6) -            , coeff of x^6
0.600332         BldEdgSh(2) - Edge mode 1, coeff of x^2
2.10585          BldEdgSh(3) -            , coeff of x^3
-3.8541          BldEdgSh(4) -            , coeff of x^4
3.28667          BldEdgSh(5) -            , coeff of x^5
-1.13875         BldEdgSh(6) -            , coeff of x^6
