                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.191583       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -5.85419005967381e-05
 9.99429683992583e-01  2.56245317411372e-05
 9.98063017832965e-01  2.24800903412882e-04
 9.95573914266674e-01  5.78447412150757e-04
 9.92086309749559e-01  1.05417783299687e-03
 9.87686148675057e-01  1.62147448036856e-03
 9.82330525170640e-01  2.26245740028601e-03
 9.76011908335692e-01  2.94889459743664e-03
 9.68787467298381e-01  3.64128224904178e-03
 9.60674860259240e-01  4.30140128204507e-03
 9.51675358763677e-01  4.88864863527834e-03
 9.41827652746244e-01  5.35678768314022e-03
 9.31175295355131e-01  5.65489516817487e-03
 9.19730397431178e-01  5.85361352928265e-03
 9.07524559194720e-01  5.94657569501342e-03
 8.94610408070308e-01  5.91604776455630e-03
 8.81009696499435e-01  5.54775803262082e-03
 8.66747905197194e-01  4.83242242372710e-03
 8.51890258171205e-01  3.87025667549228e-03
 8.36469462621421e-01  2.68486770749121e-03
 8.20513485943698e-01  1.17623995778429e-03
 8.04073832217581e-01 -6.22307427586511e-04
 7.87191529885653e-01 -2.68457960133607e-03
 7.69897919101553e-01 -5.06137780050219e-03
 7.52252341235159e-01 -7.69493930223097e-03
 7.34291349178558e-01 -1.06325179541463e-02
 7.16044924955764e-01 -1.40581866228170e-02
 6.97571640033109e-01 -1.72401016757917e-02
 6.78906186433687e-01 -2.03960467425071e-02
 6.60080312620540e-01 -2.38790395402191e-02
 6.41147517137212e-01 -2.75722298547066e-02
 6.22137650968852e-01 -3.13749992872815e-02
 6.03087998194415e-01 -3.52336600631436e-02
 5.84045042118975e-01 -3.91143884830192e-02
 5.65030897687003e-01 -4.29582404779381e-02
 5.46088602779599e-01 -4.67172138476924e-02
 5.27248673916899e-01 -5.03611695178505e-02
 5.08535950506088e-01 -5.38639238454685e-02
 4.89992355470388e-01 -5.71471121510706e-02
 4.71632114506831e-01 -6.01730354275153e-02
 4.53492503744348e-01 -6.28925794420689e-02
 4.35593302897673e-01 -6.52821922924537e-02
 4.17956065616942e-01 -6.73613258088874e-02
 4.00609748442576e-01 -6.90844189545010e-02
 3.83560931606009e-01 -7.05204096574381e-02
 3.66843215733716e-01 -7.16679372167629e-02
 3.50457316320503e-01 -7.24303922624138e-02
 3.34434484008630e-01 -7.29158756232901e-02
 3.18774100329315e-01 -7.31691856987727e-02
 3.03499623121295e-01 -7.31768977497504e-02
 2.88611293565648e-01 -7.29437798426380e-02
 2.74124386665666e-01 -7.24962232514439e-02
 2.60041455523719e-01 -7.18943831327974e-02
 2.46374872015918e-01 -7.11655764161190e-02
 2.33123443938833e-01 -7.02345497068914e-02
 2.20293777810423e-01 -6.91541606943646e-02
 2.07883282965331e-01 -6.79755862164723e-02
 1.95902956391646e-01 -6.66992759430766e-02
 1.84341253066628e-01 -6.52958097039149e-02
 1.73213930954161e-01 -6.37993426575909e-02
 1.62499176129638e-01 -6.22400696606088e-02
 1.52214602777259e-01 -6.06267774189135e-02
 1.42331759398971e-01 -5.89601701738136e-02
 1.32872111539190e-01 -5.72512825246406e-02
 1.23806439629760e-01 -5.55010100040227e-02
 1.15147623386077e-01 -5.37334426233820e-02
 1.06887208802748e-01 -5.19489582485052e-02
 9.90071115215634e-02 -5.01380286737160e-02
 9.15234043853440e-02 -4.82962246676054e-02
 8.43970428172224e-02 -4.64378386248425e-02
 7.76464790199521e-02 -4.45863378720286e-02
 7.12479082120208e-02 -4.27401217813368e-02
 6.51878662973747e-02 -4.08976858782323e-02
 5.94874721274203e-02 -3.90717710365686e-02
 5.41002464180900e-02 -3.72478547292595e-02
 4.90378786701877e-02 -3.54379370543185e-02
 4.43003497573340e-02 -3.36496233819452e-02
 3.98423597346805e-02 -3.18733252459934e-02
 3.56899752436130e-02 -3.01235197463165e-02
 3.18292350050659e-02 -2.84048125362216e-02
 2.82200072057900e-02 -2.67052856158163e-02
 2.48925247792698e-02 -2.50253716817648e-02
 2.18286683030035e-02 -2.33764191632217e-02
 1.89846947131332e-02 -2.17289850877973e-02
 1.63921917020335e-02 -2.01091780826630e-02
 1.40446346341990e-02 -1.85147576127001e-02
 1.18798249846349e-02 -1.69101922163491e-02
 9.93094518736226e-03 -1.53475543747450e-02
 8.21940795734749e-03 -1.38253708603403e-02
 6.65838622137879e-03 -1.24736970262582e-02
 5.26774192850643e-03 -1.11408396358795e-02
 4.09515753852961e-03 -9.75950969508966e-03
 3.09878859713642e-03 -8.31333021008701e-03
 2.19660773551101e-03 -6.57391169859588e-03
 1.46264176301869e-03 -4.57004364955322e-03
 9.64484608297922e-04 -3.07654342222232e-03
 5.99373867982851e-04 -1.93448566306354e-03
 2.90086645599082e-04 -9.43496361302236e-04
 7.80707788302466e-05 -2.54940277235837e-04
 0.00000000000000e+00  0.00000000000000e+00
 7.80412061165972e-05  3.12252147161573e-04
 2.89878724192004e-04  1.45833114497346e-03
 5.98775316682048e-04  3.76194844304185e-03
 9.63326351634835e-04  6.84711414503492e-03
 1.45966821282819e-03  1.03569085509862e-02
 2.19097636449990e-03  1.28455863031725e-02
 3.08997841959778e-03  1.46697043690665e-02
 4.08271112470316e-03  1.64412949277703e-02
 5.24853124383664e-03  1.82926956818642e-02
 6.63128223001261e-03  2.02496181465544e-02
 8.18368429859057e-03  2.23326267164691e-02
 9.88361416849065e-03  2.44118851066213e-02
 1.18176401547236e-02  2.65765692411623e-02
 1.39661993216830e-02  2.88223281348857e-02
 1.62951420791042e-02  3.11041792739484e-02
 1.88631937781153e-02  3.34464758449238e-02
 2.16807137532775e-02  3.59161220627676e-02
 2.47159162958630e-02  3.84863999661889e-02
 2.80064400105864e-02  4.11139287934992e-02
 3.15762558914965e-02  4.38222203553107e-02
 3.53948396168776e-02  4.65656970900455e-02
 3.94949825480075e-02  4.93652076681519e-02
 4.38979282781582e-02  5.22223360497792e-02
 4.85758075737765e-02  5.51067461343289e-02
 5.35679916138118e-02  5.80215118113216e-02
 5.88818211488708e-02  6.07821436927945e-02
 6.45001629027313e-02  6.35615309435649e-02
 7.04692046391145e-02  6.63871347911143e-02
 7.67740309924709e-02  6.92417660197197e-02
 8.34162127168367e-02  7.20981356894250e-02
 9.04290195190656e-02  7.49388628551957e-02
 9.77906533229447e-02  7.77355981515908e-02
 1.05536187198748e-01  8.05576244093697e-02
