                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.250336       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -4.28440829313791e-03
 9.99429683992583e-01 -4.18751498164263e-03
 9.98063017832965e-01 -3.95752622490469e-03
 9.95573914266674e-01 -3.54654772398230e-03
 9.92086309749559e-01 -2.98758773667313e-03
 9.87686148675057e-01 -2.30983749588310e-03
 9.82330525170640e-01 -1.52502756576027e-03
 9.76011908335692e-01 -6.53606358845138e-04
 9.68787467298381e-01  2.73752644185377e-04
 9.60674860259240e-01  1.23220958611310e-03
 9.51675358763677e-01  2.19953242430212e-03
 9.41827652746244e-01  3.15137877393763e-03
 9.31175295355131e-01  3.97678545760686e-03
 9.19730397431178e-01  4.64480848921056e-03
 9.07524559194720e-01  5.08014691980376e-03
 8.94610408070308e-01  5.21338143143260e-03
 8.81009696499435e-01  5.02644621005021e-03
 8.66747905197194e-01  4.45209454202176e-03
 8.51890258171205e-01  3.50911517675677e-03
 8.36469462621421e-01  2.15701024098951e-03
 8.20513485943698e-01  3.58426617712295e-04
 8.04073832217581e-01 -1.91321873879596e-03
 7.87191529885653e-01 -4.72906368326401e-03
 7.69897919101553e-01 -8.13165521524812e-03
 7.52252341235159e-01 -1.21147852929995e-02
 7.34291349178558e-01 -1.66477174689318e-02
 7.16044924955764e-01 -2.16642118942972e-02
 6.97571640033109e-01 -2.71215516344761e-02
 6.78906186433687e-01 -3.29778389865479e-02
 6.60080312620540e-01 -3.91599405175026e-02
 6.41147517137212e-01 -4.55808441534828e-02
 6.22137650968852e-01 -5.21452816702132e-02
 6.03087998194415e-01 -5.87522941092914e-02
 5.84045042118975e-01 -6.53147733823893e-02
 5.65030897687003e-01 -7.17442965873273e-02
 5.46088602779599e-01 -7.79584217334640e-02
 5.27248673916899e-01 -8.38883366171227e-02
 5.08535950506088e-01 -8.94670282234058e-02
 4.89992355470388e-01 -9.46628742145707e-02
 4.71632114506831e-01 -9.94208541258415e-02
 4.53492503744348e-01 -1.03708808132652e-01
 4.35593302897673e-01 -1.07513859144880e-01
 4.17956065616942e-01 -1.10855142597156e-01
 4.00609748442576e-01 -1.13714158235066e-01
 3.83560931606009e-01 -1.16124461449445e-01
 3.66843215733716e-01 -1.18074515831177e-01
 3.50457316320503e-01 -1.19585723022583e-01
 3.34434484008630e-01 -1.20678129513489e-01
 3.18774100329315e-01 -1.21380323408423e-01
 3.03499623121295e-01 -1.21693040379733e-01
 2.88611293565648e-01 -1.21662433004646e-01
 2.74124386665666e-01 -1.21274431705436e-01
 2.60041455523719e-01 -1.20584022452675e-01
 2.46374872015918e-01 -1.19590936193381e-01
 2.33123443938833e-01 -1.18328883900986e-01
 2.20293777810423e-01 -1.16811094299718e-01
 2.07883282965331e-01 -1.15040849147764e-01
 1.95902956391646e-01 -1.13058697942361e-01
 1.84341253066628e-01 -1.10860293629922e-01
 1.73213930954161e-01 -1.08487504217775e-01
 1.62499176129638e-01 -1.05936609388336e-01
 1.52214602777259e-01 -1.03238648508307e-01
 1.42331759398971e-01 -1.00404142713889e-01
 1.32872111539190e-01 -9.74643265131338e-02
 1.23806439629760e-01 -9.44214457257820e-02
