------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
AeroElasticSE FAST driver
======  Blade Properties =================================================================
50          NumBlNds    - Number of blade nodes used in the analysis (-)
    BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID
     (m)           (m)            (m)            (deg)         (deg)           (m)              (-)
 0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00 -1.562584083076997e-01  2.000195662801704e+01  4.500000000000000e+00        1
 1.999925356168168e+00 -5.454237086148398e-03  0.000000000000000e+00 -2.588406463045316e-01  1.948685094897706e+01  4.503153041429663e+00        2
 3.999850712336336e+00 -1.806975017474230e-02  0.000000000000000e+00 -4.872418273992195e-01  1.880260199911526e+01  4.521632269686211e+00        3
 5.999776068504504e+00 -3.946845413950356e-02  0.000000000000000e+00 -7.141127535044568e-01  1.798566618952384e+01  4.564473437026853e+00        4
 7.999701424672672e+00 -6.792107393769431e-02  0.000000000000000e+00 -8.914466109449871e-01  1.706235407262842e+01  4.627115925375490e+00        5
 9.999626780840842e+00 -1.016983345265766e-01  0.000000000000000e+00 -1.019238852059855e+00  1.605897620085467e+01  4.704999116656017e+00        6
 1.199955213700901e+01 -1.390709608634125e-01  0.000000000000000e+00 -1.097484727914692e+00  1.500184312662823e+01  4.793562392792339e+00        7
 1.399947749317718e+01 -1.783096779054641e-01  0.000000000000000e+00 -1.126180722115038e+00  1.391726540237475e+01  4.888245135708356e+00        8
 1.599940284934534e+01 -2.176852106099934e-01  0.000000000000000e+00 -1.105325429167830e+00  1.283155358051988e+01  4.984486727327968e+00        9
 1.799932820551351e+01 -2.554682839342627e-01  0.000000000000000e+00 -1.036624231239114e+00  1.177101821348927e+01  5.077726549575075e+00       10
 1.993794268333987e+01 -2.889393784319580e-01  0.000000000000000e+00 -9.198793391266442e-01  1.079188218883835e+01  5.160934254898568e+00       11
 2.187655716116622e+01 -3.177142228310246e-01  0.000000000000000e+00 -7.577887140038708e-01  9.885088930286539e+00  5.232882233030735e+00       12
 2.381517163899257e+01 -3.402177572522455e-01  0.000000000000000e+00 -5.491509112578011e-01  9.074602639306423e+00  5.289416577635935e+00       13
 2.575378611681892e+01 -3.548749218164036e-01  0.000000000000000e+00 -2.939687573638999e-01  8.384387517370580e+00  5.326383382378525e+00       14
 2.769240059464527e+01 -3.601106566442823e-01  0.000000000000000e+00 -1.617496377374185e-02  7.838407765951583e+00  5.339628740922864e+00       15
 2.963101507247163e+01 -3.559694882504434e-01  0.000000000000000e+00  2.292435685210354e-01  7.402182578326332e+00  5.319551227836168e+00       16
 3.149187051918898e+01 -3.449088088381828e-01  0.000000000000000e+00  4.315735062368396e-01  7.032307008497816e+00  5.267247671915610e+00       17
 3.335272596590634e+01 -3.279364176678004e-01  0.000000000000000e+00  5.979798168634938e-01  6.700178095761370e+00  5.189505739644961e+00       18
 3.521358141262370e+01 -3.060670718840073e-01  0.000000000000000e+00  7.331441088354441e-01  6.395828773470593e+00  5.093147384790204e+00       19
 3.707443685934105e+01 -2.803155286315148e-01  0.000000000000000e+00  8.370646260504884e-01  6.109291974979087e+00  4.984994561117323e+00       20
 3.893529230605841e+01 -2.516965450550340e-01  0.000000000000000e+00  9.097394269945793e-01  5.830600633640448e+00  4.871869222392300e+00       21
 4.079614775277577e+01 -2.212248782992762e-01  0.000000000000000e+00  9.578986531032216e-01  5.549787682808283e+00  4.760593322381120e+00       22
 4.265700319949313e+01 -1.894780743497138e-01  0.000000000000000e+00  1.107956734734365e+00  5.258060409088939e+00  4.657080546132300e+00       23
 4.451785864621048e+01 -1.492608052040649e-01  0.000000000000000e+00  1.396342193293988e+00  4.969806526377561e+00  4.549535681743700e+00       24
 4.637871409292784e+01 -9.878609691940669e-02  0.000000000000000e+00  1.690403051524421e+00  4.690381067775258e+00  4.433672929656662e+00       25
 4.823956953964519e+01 -3.947472902678270e-02  0.000000000000000e+00  1.949571628649530e+00  4.417281262898431e+00  4.311356103156475e+00       26
 5.025503560149709e+01  3.308588921020143e-02  0.000000000000000e+00  2.161264416319163e+00  4.125725075933920e+00  4.173756535513056e+00       27
 5.227050166334898e+01  1.125407313320779e-01  0.000000000000000e+00  2.331726297215829e+00  3.835473545620035e+00  4.033140298732321e+00       28
 5.428596772520088e+01  1.970846392309910e-01  0.000000000000000e+00  2.450843721217170e+00  3.543346800519065e+00  3.891875443303420e+00       29
 5.630143378705277e+01  2.849124547990849e-01  0.000000000000000e+00  2.584813715950537e+00  3.246164969193293e+00  3.752330019715506e+00       30
 5.831689984890468e+01  3.788724575314575e-01  0.000000000000000e+00  2.850739755952923e+00  2.946798868068793e+00  3.614359306825121e+00       31
 6.033236591075656e+01  4.853879176506359e-01  0.000000000000000e+00  3.184759862308846e+00  2.652288433153812e+00  3.474714708876221e+00       32
 6.234783197260846e+01  6.028146290733660e-01  0.000000000000000e+00  3.469828269302026e+00  2.358821573527822e+00  3.333617188130539e+00       33
 6.436329803446036e+01  7.293516890571764e-01  0.000000000000000e+00  3.703677898133215e+00  2.062379065983730e+00  3.191364031536940e+00       34
 6.637876409631225e+01  8.631981948595960e-01  0.000000000000000e+00  3.886273602133184e+00  1.758941687314448e+00  3.048252526044291e+00       35
 6.839423015816413e+01  1.002553243738154e+00  0.000000000000000e+00  4.017584942904556e+00  1.444490214312883e+00  2.904579958601456e+00       36
 7.040969622001603e+01  1.145615932950379e+00  0.000000000000000e+00  4.125885393844573e+00  1.115005423771942e+00  2.760643616157303e+00       37
 7.242516228186794e+01  1.292571014839366e+00  0.000000000000000e+00  4.307998145388962e+00  7.712188704862583e-01  2.616878687056822e+00       38
 7.444062834371984e+01  1.448411198476842e+00  0.000000000000000e+00  4.555031647927919e+00  4.232903883734917e-01  2.473585196866234e+00       39
 7.645609440557173e+01  1.612693866335444e+00  0.000000000000000e+00  4.858491041431724e+00  6.606761399949579e-02  2.330163972235282e+00       40
 7.999701424672674e+01  1.919009749846986e+00  0.000000000000000e+00  5.067012656778909e+00 -6.032839054253325e-01  2.075910950830576e+00       41
 8.240861190458908e+01  2.138425115070971e+00  0.000000000000000e+00  5.303071603773940e+00 -1.104400407624281e+00  1.899571437737611e+00       42
 8.482020956245144e+01  2.364788597994308e+00  0.000000000000000e+00  5.469604497554234e+00 -1.654747298383902e+00  1.719371042030250e+00       43
 8.723180722031380e+01  2.598160901723448e+00  0.000000000000000e+00  5.654933111461362e+00 -2.269837038905211e+00  1.534689132027842e+00       44
 8.917296901973235e+01  2.793696642196275e+00  0.000000000000000e+00  5.881467162380298e+00 -2.823346453463073e+00  1.383406046402096e+00       45
 9.111413081915089e+01  2.995985651629868e+00  0.000000000000000e+00  6.077779974477762e+00 -3.425525385405961e+00  1.229878110819636e+00       46
 9.305529261856942e+01  3.204751033908875e+00  0.000000000000000e+00  6.265942319519072e+00 -4.072478486138738e+00  1.074150125870218e+00       47
