------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
Generated with AeroElasticSE FAST driver
======  Blade Properties =================================================================
50          NumBlNds    - Number of blade nodes used in the analysis (-)
    BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID
     (m)           (m)            (m)            (deg)         (deg)           (m)              (-)
 0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  1.603616860217679e-01  2.000195662801704e+01  4.500000000000000e+00        1
 2.040740159355273e+00  5.711696536936027e-03  0.000000000000000e+00  2.659249371218198e-01  1.947288631709527e+01  4.503530168536939e+00        2
 4.081480318710547e+00  1.894316666309990e-02  0.000000000000000e+00  4.983374436738193e-01  1.876923771065414e+01  4.523380888761340e+00        3
 6.122220478065820e+00  4.121045127000503e-02  0.000000000000000e+00  7.262781515666856e-01  1.792906669792301e+01  4.568308691415545e+00        4
 8.162960637421094e+00  7.067840133270509e-02  0.000000000000000e+00  9.026999811686330e-01  1.698030436271123e+01  4.633473736908594e+00        5
 1.020370079677637e+01  1.055118678262537e-01  0.000000000000000e+00  1.027598053199616e+00  1.595088178882817e+01  4.714036185649519e+00        6
 1.224444095613164e+01  1.438757017257045e-01  0.000000000000000e+00  1.100967436039780e+00  1.486873006008318e+01  4.805156198047361e+00        7
 1.428518111548691e+01  1.839347540061111e-01  0.000000000000000e+00  1.122804661496409e+00  1.376178026028563e+01  4.901993934511157e+00        8
 1.632592127484219e+01  2.238538756425272e-01  0.000000000000000e+00  1.093284796371706e+00  1.265796347324488e+01  4.999709555449945e+00        9
 1.836666143419746e+01  2.618104656057880e-01  0.000000000000000e+00  1.011541364019567e+00  1.158501708767405e+01  5.093492941190044e+00       10
 2.040740159355273e+01  2.959075545431140e-01  0.000000000000000e+00  8.779525565636922e-01  1.057182606133731e+01  5.178357326784329e+00       11
 2.244814175290801e+01  3.243492055375001e-01  0.000000000000000e+00  6.935481474966072e-01  9.645712304379325e+00  5.249550921235718e+00       12
 2.448888191226328e+01  3.453114375361999e-01  0.000000000000000e+00  4.579390419852915e-01  8.834436923368767e+00  5.302263338252827e+00       13
 2.652962207161855e+01  3.569702694864672e-01  0.000000000000000e+00  1.813199704836279e-01  8.165761024874318e+00  5.331684191544271e+00       14
 2.857036223097383e+01  3.582277930155858e-01  0.000000000000000e+00 -9.636628118014912e-02  7.640975538815834e+00  5.330509225684454e+00       15
 3.061110239032909e+01  3.501055946722030e-01  0.000000000000000e+00 -3.368402993419480e-01  7.207815982265918e+00  5.291866554754029e+00       16
 3.265184254968437e+01  3.342330215927896e-01  0.000000000000000e+00 -5.346696957697697e-01  6.826064478867470e+00  5.218450109523411e+00       17
 3.469258270903966e+01  3.120188073590286e-01  0.000000000000000e+00 -6.942293440144066e-01  6.482175136916596e+00  5.119538300955520e+00       18
 3.673332286839492e+01  2.847806169403891e-01  0.000000000000000e+00 -8.167957092604793e-01  6.163251819149356e+00  5.003968771467451e+00       19
 3.877406302775019e+01  2.538361153063401e-01  0.000000000000000e+00 -9.025432914139406e-01  5.856398388301807e+00  4.880579163476305e+00       20
 4.081480318710547e+01  2.204903608360673e-01  0.000000000000000e+00 -9.702624269106601e-01  5.548607925637089e+00  4.758285812514599e+00       21
 4.285554334646074e+01  1.847225128261243e-01  0.000000000000000e+00 -1.150041939114046e+00  5.228972217001564e+00  4.644271148898887e+00       22
 4.489628350581602e+01  1.385723137507916e-01  0.000000000000000e+00 -1.460522145279798e+00  4.914408887620374e+00  4.524728295277475e+00       23
 4.693702366517129e+01  8.069309060299364e-02  0.000000000000000e+00 -1.766096495594401e+00  4.609512670222141e+00  4.395944930857016e+00       24
 4.897776382452656e+01  1.278387465020960e-02  0.000000000000000e+00 -2.018795399929517e+00  4.311136778297966e+00  4.260223498779813e+00       25
 5.101850398388184e+01 -6.308659040128600e-02  0.000000000000000e+00 -2.219972496340381e+00  4.015970489082711e+00  4.120080013499068e+00       26
 5.305924414323710e+01 -1.453169005557962e-01  0.000000000000000e+00 -2.372763480924204e+00  3.720922889361770e+00  3.977753576687296e+00       27
 5.509998430259238e+01 -2.320627287898237e-01  0.000000000000000e+00 -2.500963582256831e+00  3.422743093760556e+00  3.835652460248444e+00       28
 5.714072446194766e+01 -3.234171472875371e-01  0.000000000000000e+00 -2.693795131914661e+00  3.120681605477920e+00  3.695150377169262e+00       29
 5.918146462130293e+01 -4.238852643474386e-01  0.000000000000000e+00 -2.993484572930888e+00  2.819482891282701e+00  3.554771879729182e+00       30
 6.122220478065819e+01 -5.365618291395801e-01  0.000000000000000e+00 -3.311512121665104e+00  2.521625794579569e+00  3.412711341069743e+00       31
 6.326294494001348e+01 -6.596504119698422e-01  0.000000000000000e+00 -3.577817901509917e+00  2.223060022052600e+00  3.269253428366846e+00       32
 6.530368509936875e+01 -7.912630499206819e-01  0.000000000000000e+00 -3.791076804602821e+00  1.919615155881844e+00  3.124726947975383e+00       33
 6.734442525872403e+01 -9.295117800745561e-01  0.000000000000000e+00 -3.951253905965703e+00  1.607120778247350e+00  2.979460706250243e+00       34
