id,substation_id,name,latitude,longitude,string,order,cable_length,bury_speed
oss1,oss1,offshore_substation,0.0,0.0,,,,
t0,oss1,turbine-0,0.0,0.0,0,0,0,0
t1,oss1,turbine-1,0.0,0.0,0,1,0,0
t2,oss1,turbine-2,0.0,0.0,0,2,0,0
t3,oss1,turbine-3,0.0,0.0,0,3,0,0
t4,oss1,turbine-4,0.0,0.0,0,4,0,0
t5,oss1,turbine-5,0.0,0.0,0,5,0,0
t6,oss1,turbine-6,0.0,0.0,1,0,0,0
t7,oss1,turbine-7,0.0,0.0,1,1,0,0
t8,oss1,turbine-8,0.0,0.0,1,2,0,0
t9,oss1,turbine-9,0.0,0.0,1,3,0,0
t10,oss1,turbine-10,0.0,0.0,1,4,0,0
t11,oss1,turbine-11,0.0,0.0,1,5,0,0
t12,oss1,turbine-12,0.0,0.0,2,0,0,0
t13,oss1,turbine-13,0.0,0.0,2,1,0,0
t14,oss1,turbine-14,0.0,0.0,2,2,0,0
t15,oss1,turbine-15,0.0,0.0,2,3,0,0
t16,oss1,turbine-16,0.0,0.0,2,4,0,0
t17,oss1,turbine-17,0.0,0.0,2,5,0,0
t18,oss1,turbine-18,0.0,0.0,3,0,0,0
t19,oss1,turbine-19,0.0,0.0,3,1,0,0
t20,oss1,turbine-20,0.0,0.0,3,2,0,0
t21,oss1,turbine-21,0.0,0.0,3,3,0,0
t22,oss1,turbine-22,0.0,0.0,3,4,0,0
t23,oss1,turbine-23,0.0,0.0,3,5,0,0
t24,oss1,turbine-24,0.0,0.0,4,0,0,0
t25,oss1,turbine-25,0.0,0.0,4,1,0,0
t26,oss1,turbine-26,0.0,0.0,4,2,0,0
t27,oss1,turbine-27,0.0,0.0,4,3,0,0
t28,oss1,turbine-28,0.0,0.0,4,4,0,0
t29,oss1,turbine-29,0.0,0.0,4,5,0,0
t30,oss1,turbine-30,0.0,0.0,5,0,0,0
t31,oss1,turbine-31,0.0,0.0,5,1,0,0
t32,oss1,turbine-32,0.0,0.0,5,2,0,0
t33,oss1,turbine-33,0.0,0.0,5,3,0,0
t34,oss1,turbine-34,0.0,0.0,5,4,0,0
t35,oss1,turbine-35,0.0,0.0,5,5,0,0
t36,oss1,turbine-36,0.0,0.0,6,0,0,0
t37,oss1,turbine-37,0.0,0.0,6,1,0,0
t38,oss1,turbine-38,0.0,0.0,6,2,0,0
t39,oss1,turbine-39,0.0,0.0,6,3,0,0
t40,oss1,turbine-40,0.0,0.0,6,4,0,0
t41,oss1,turbine-41,0.0,0.0,6,5,0,0
t42,oss1,turbine-42,0.0,0.0,7,0,0,0
t43,oss1,turbine-43,0.0,0.0,7,1,0,0
t44,oss1,turbine-44,0.0,0.0,7,2,0,0
t45,oss1,turbine-45,0.0,0.0,7,3,0,0
t46,oss1,turbine-46,0.0,0.0,7,4,0,0
t47,oss1,turbine-47,0.0,0.0,7,5,0,0
t48,oss1,turbine-48,0.0,0.0,8,0,0,0
t49,oss1,turbine-49,0.0,0.0,8,1,0,0
t50,oss1,turbine-50,0.0,0.0,8,2,0,0
t51,oss1,turbine-51,0.0,0.0,8,3,0,0
t52,oss1,turbine-52,0.0,0.0,8,4,0,0
t53,oss1,turbine-53,0.0,0.0,8,5,0,0
t54,oss1,turbine-54,0.0,0.0,9,0,0,0
t55,oss1,turbine-55,0.0,0.0,9,1,0,0
t56,oss1,turbine-56,0.0,0.0,9,2,0,0
t57,oss1,turbine-57,0.0,0.0,9,3,0,0
t58,oss1,turbine-58,0.0,0.0,9,4,0,0
t59,oss1,turbine-59,0.0,0.0,9,5,0,0
t60,oss1,turbine-60,0.0,0.0,10,0,0,0
t61,oss1,turbine-61,0.0,0.0,10,1,0,0
t62,oss1,turbine-62,0.0,0.0,10,2,0,0
t63,oss1,turbine-63,0.0,0.0,10,3,0,0
t64,oss1,turbine-64,0.0,0.0,10,4,0,0
t65,oss1,turbine-65,0.0,0.0,10,5,0,0
t66,oss1,turbine-66,0.0,0.0,11,0,0,0
