id,substation_id,name,latitude,longitude,string,order,cable_length,bury_speed
DOW_OSS,DOW_OSS,DOW_OSS,53.2648,1.378767,,,,
DAE_A1,DOW_OSS,DAE_A1,53.24395,1.358783,0,0,3.135278981,0.5
DAD_A2,DOW_OSS,DAD_A2,53.248467,1.349033,0,1,0.993859972,0.5
DAC_A3,DOW_OSS,DAC_A3,53.252983,1.339283,0,2,0.993719024,0.5
DAB_A4,DOW_OSS,DAB_A4,53.2575,1.32955,0,3,0.99269852,0.5
DAA_A5,DOW_OSS,DAA_A5,53.262017,1.3198,0,4,0.993672837,0.5
DDE_B1,DOW_OSS,DDE_B1,53.263667,1.370467,1,0,0.700044297,0.5
DCD_B2,DOW_OSS,DCD_B2,53.256983,1.35765,1,1,1.353233845,0.5
DCC_B3,DOW_OSS,DCC_B3,53.262167,1.346467,1,2,1.133498293,0.5
DCB_B4,DOW_OSS,DCB_B4,53.267367,1.335267,1,3,1.135710857,0.5
DCA_B5,DOW_OSS,DCA_B5,53.2762,1.320917,1,4,1.62887569,0.5
DBA_B6,DOW_OSS,DBA_B6,53.2691,1.32035,1,5,0.957690244,0.5
DDD_C1,DOW_OSS,DDD_C1,53.26885,1.359283,2,0,1.633213309,0.5
DDC_C2,DOW_OSS,DDC_C2,53.274017,1.3481,2,1,1.131975108,0.5
DDB_C3,DOW_OSS,DDB_C3,53.279217,1.336933,2,2,1.133514049,0.5
DDA_C4,DOW_OSS,DDA_C4,53.283283,1.321483,2,3,1.343943203,0.5
DEA_C5,DOW_OSS,DEA_C5,53.290383,1.322033,2,4,0.957630076,0.5
DFD_D1,DOW_OSS,DFD_D1,53.280483,1.36125,3,0,2.470060063,0.5
DFC_D2,DOW_OSS,DFC_D2,53.2857,1.350017,3,1,1.138768308,0.5
DFB_D3,DOW_OSS,DFB_D3,53.290917,1.3388,3,2,1.137711533,0.5
DHB_D4,DOW_OSS,DHB_D4,53.302567,1.340583,3,3,1.547797248,0.5
DHA_D5,DOW_OSS,DHA_D5,53.308917,1.333583,3,4,1.022127657,0.5
DFA_C6,DOW_OSS,DFA_C6,53.297467,1.3226,3,5,1.741468248,0.5
DGA_D6,DOW_OSS,DGA_D6,53.304567,1.323167,3,5,1.741468248,0.5
DFE_E1,DOW_OSS,DFE_E1,53.275283,1.372483,4,0,1.475867286,0.5
DHE_E2,DOW_OSS,DHE_E2,53.287,1.374167,4,1,1.555700768,0.5
DHD_E3,DOW_OSS,DHD_E3,53.292183,1.362983,4,2,1.13300516,0.5
DHC_E4,DOW_OSS,DHC_E4,53.297383,1.351783,4,3,1.135235005,0.5
DKB_E5,DOW_OSS,DKB_E5,53.309583,1.35245,4,4,1.613055973,0.5
DKA_E6,DOW_OSS,DKA_E6,53.313867,1.3432,4,5,0.944183809,0.5
DHF_F1,DOW_OSS,DHF_F1,53.281817,1.385383,5,0,2.290010188,0.5
DKG_F2,DOW_OSS,DKG_F2,53.288183,1.39865,5,1,1.353220558,0.5
DKF_F3,DOW_OSS,DKF_F3,53.292467,1.389417,5,2,0.943428656,0.5
DKE_F4,DOW_OSS,DKE_F4,53.29675,1.380183,5,3,0.943354856,0.5
DKD_F5,DOW_OSS,DKD_F5,53.301033,1.370933,5,4,0.944273405,0.5
DKC_F6,DOW_OSS,DKC_F6,53.3053,1.3617,5,5,0.941924289,0.5
DKH_G1,DOW_OSS,DKH_G1,53.2839,1.407883,6,0,3.063415835,0.05
DKJ_G2,DOW_OSS,DKJ_G2,53.279633,1.417133,6,1,0.857492672,0.05
DKK_G3,DOW_OSS,DKK_G3,53.27535,1.426367,6,2,0.857798794,0.05
DKL_G4,DOW_OSS,DKL_G4,53.271067,1.4356,6,3,0.857794305,0.05
DKM_G5,DOW_OSS,DKM_G5,53.266783,1.44485,6,4,0.858858866,0.05
DJM_G6,DOW_OSS,DJM_G6,53.259417,1.444267,6,5,0.901728342,0.05
DHG_H1,DOW_OSS,DHG_H1,53.276633,1.396567,7,0,1.901949033,0.05
DHH_H2,DOW_OSS,DHH_H2,53.271433,1.407767,7,1,1.032330879,0.05
DHJ_H3,DOW_OSS,DHJ_H3,53.26625,1.41895,7,2,1.0302481,0.05
DHK_H4,DOW_OSS,DHK_H4,53.26105,1.43015,7,3,1.032480513,0.05
DFK_H5,DOW_OSS,DFK_H5,53.2497,1.429317,7,4,1.367595339,0.05
DHM_H6,DOW_OSS,DHM_H6,53.25205,1.443717,7,5,1.085914886,0.05
DFF_T1,DOW_OSS,DFF_T1,53.270067,1.3837,8,0,0.745869091,0.05
DFG_T2,DOW_OSS,DFG_T2,53.26485,1.394933,8,1,1.035469852,0.05
DDJ_T3,DOW_OSS,DDJ_T3,53.242917,1.415133,8,2,2.967951249,0.05
