<reference>				
Tyler	"Bushnell,"	Windpact	"Blade,"	NREL
</reference>				
<coords>				
1	0			
0.99646	0.00085064			
0.98566	0.003236197			
0.96717	0.0066975			
0.94062	0.010463544			
0.90608	0.013513874			
0.86437	0.014600585			
0.81692	0.012954172			
0.76514	0.008450561			
0.71026	0.001176451			
0.65355	-0.008676924			
0.59631	-0.020665931			
0.53974	-0.034217868			
0.48499	-0.048470206			
0.43307	-0.062434523			
0.38475	-0.074713847			
0.34011	-0.083842191			
0.29879	-0.088727875			
0.25997	-0.088581563			
0.22231	-0.083623915			
0.1848	-0.075431112			
0.1479	-0.066436073			
0.11351	-0.057837374			
0.08297	-0.049223919			
0.0567	-0.040261952
0.03502	-0.030966918			
0.01819	-0.021433518			
0.0065	-0.011921153			
0.00197	-0.006143801			
0.00081	-0.003927367			
0.00014	-0.001756226			
0.00001	0.000460303			
0.00028	0.002716913			
0.00129	0.00652403			
0.00721	0.017699339							
0.01766	0.029849799			
0.0325	0.042353067			
0.05161	0.054826688			
0.07479	0.066979346			
0.10185	0.078573643			
0.13251	0.089422749			
0.16643	0.099373584			
0.20324	0.10821804			
0.24253	0.11551982			
0.28387	0.12058548			
0.32709	0.1228324			
0.3723	0.12232509			
0.4193	0.11963666			
0.46763	0.11523477			
0.51676	0.1094959			
0.56616	0.10271053			
0.61526	0.095129719			
0.6635	0.086991516			
0.71028	0.07848179			
0.75503	0.069803229			
0.7972	0.061077911			
0.83624	0.052446268			
0.87165	0.043966808			
0.90294	0.035596054			
0.92994	0.027071229			
0.95294	0.018495803			
0.97208	0.010680016			
0.98695	0.004661435			
0.99661	0.001107862			
</coords>				
