------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
AeroElasticSE FAST driver
======  Blade Properties =================================================================
50          NumBlNds    - Number of blade nodes used in the analysis (-)
    BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID
     (m)           (m)            (m)            (deg)         (deg)           (m)              (-)
 0.000000000000000e+00 -0.000000000000000e+00  0.000000000000000e+00 -1.478396839518095e-01  2.000195662801704e+01  4.500000000000000e+00        1
 1.669599574181540e+00 -4.308045052756294e-03  0.000000000000000e+00 -1.947456769489366e-01  1.958064733211515e+01  4.502410016525412e+00        2
 3.339199148363079e+00 -1.134976000000000e-02  0.000000000000000e+00 -3.020494659714580e-01  1.907359941510231e+01  4.508389670000000e+00        3
 5.008798722544620e+00 -2.191141228780733e-02  0.000000000000000e+00 -4.360740361401319e-01  1.845413084012760e+01  4.538108766915814e+00        4
 6.678398296726160e+00 -3.676391797851139e-02  0.000000000000000e+00 -5.563457197344148e-01  1.773301105180205e+01  4.599912086210486e+00        5
 8.347997870907697e+00 -5.433474217995975e-02  0.000000000000000e+00 -6.226515807722459e-01  1.696360412382757e+01  4.674186492399913e+00        6
 1.001759744508924e+01 -7.305135000000000e-02  0.000000000000000e+00 -7.373542639159951e-01  1.619927412990604e+01  4.741318850000000e+00        7
 1.227963557785132e+01 -1.049306120920804e-01  0.000000000000000e+00 -9.338096263925534e-01  1.512375888812125e+01  4.826320324982073e+00        8
 1.454167371061341e+01 -1.467817185696325e-01  0.000000000000000e+00 -1.130594633044330e+00  1.394828598337745e+01  4.922213193208773e+00        9
 1.680371184337550e+01 -1.941966009548146e-01  0.000000000000000e+00 -1.215712293811353e+00  1.272545041132282e+01  5.022103548831474e+00       10
 1.906574997613759e+01 -2.427671907697853e-01  0.000000000000000e+00 -1.189153089994670e+00  1.150784716760556e+01  5.119097486001548e+00       11
 2.132778810889967e+01 -2.880854195367031e-01  0.000000000000000e+00 -1.050920124080727e+00  1.034807124787385e+01  5.206301098870370e+00       12
 2.358982624166176e+01 -3.257432187777263e-01  0.000000000000000e+00 -8.010276049034631e-01  9.298717647775888e+00  5.276820481589312e+00       13
 2.585186437442384e+01 -3.513325200150134e-01  0.000000000000000e+00 -4.395441042903329e-01  8.412381362959863e+00  5.323761728309750e+00       14
 2.811390250718593e+01 -3.604492924547019e-01  0.000000000000000e+00 -4.526760263496519e-02  7.741582910161568e+00  5.340224842426096e+00       15
 3.037594063994801e+01 -3.549068507443049e-01  0.000000000000000e+00  2.621859694137587e-01  7.230686804319951e+00  5.314241613369789e+00       16
 3.263797877271010e+01 -3.397471536264893e-01  0.000000000000000e+00  4.897435349225634e-01  6.789176717874877e+00  5.245264308752173e+00       17
 3.490001690547219e+01 -3.162371591611866e-01  0.000000000000000e+00  6.852152963293329e-01  6.401993352231461e+00  5.142284573337863e+00       18
 3.716205503823427e+01 -2.856438254083280e-01  0.000000000000000e+00  8.486002533797958e-01  6.054077408794827e+00  5.014294051891476e+00       19
 3.942409317099636e+01 -2.492341104278450e-01  0.000000000000000e+00  9.798961370308843e-01  5.730369588970089e+00  4.870284389177625e+00       20
 4.168613130375844e+01 -2.082749722796687e-01  0.000000000000000e+00  1.079100178038553e+00  5.415810594162366e+00  4.719247229960926e+00       21
 4.394816943652053e+01 -1.640333690237308e-01  0.000000000000000e+00  1.146661120364904e+00  5.095341125776780e+00  4.570174219005996e+00       22
